,Origin_Airport,Destination_Airport,Aeroplane Category,Volume(kg)
143,GUWAHATI,DIBRUGARH,GCR,0.9069999999999998
144,GUWAHATI,HYDERABAD,GCR,11.299359999999998
145,GUWAHATI,KOLKATA,GCR,383.07759999999996
146,GUWAHATI,MUMBAI,GCR,212.46964
147,GUWAHATI,PATNA,GCR,22.74692
148,GUWAHATI,PUNE,GCR,116.81196
149,GUWAHATI,SILIGURI,GCR,18.8978
150,HYDERABAD,AHMEDABAD,GCR,264.18756
151,HYDERABAD,AHMEDABAD,PRIME,130.3872
152,HYDERABAD,BHUBANESHWAR,GCR,178.81904
153,HYDERABAD,CHANDIGARH,GCR,399.0876
154,HYDERABAD,CHENNAI,GCR,229.81608
155,HYDERABAD,COCHIN,GCR,278.21295999999995
156,HYDERABAD,COIMBATORE,GCR,160.8606
157,HYDERABAD,DELHI,GCR,721.39688
158,HYDERABAD,DELHI,PRIME,560.69648
159,HYDERABAD,GUWAHATI,GCR,189.64148
160,HYDERABAD,INDORE,GCR,133.59632
161,HYDERABAD,JAIPUR,GCR,170.4368
162,HYDERABAD,KOLKATA,GCR,298.72248
163,HYDERABAD,KOLKATA,PRIME,157.10139999999998
164,HYDERABAD,LUCKNOW,GCR,236.7296
165,HYDERABAD,MUMBAI,GCR,408.17692
166,HYDERABAD,MUMBAI,PRIME,350.5398
167,HYDERABAD,NAGPUR,GCR,66.17956
168,HYDERABAD,PATNA,GCR,184.54484000000002
169,HYDERABAD,PUNE,GCR,0.3699999999999999
170,HYDERABAD,RANCHI,GCR,135.12792
171,HYDERABAD,SURAT,GCR,116.79716
172,HYDERABAD,VARANASI,GCR,122.03388000000001
173,INDORE,BANGALORE,GCR,463.34248
174,INDORE,BHUBANESHWAR,GCR,104.71336
175,INDORE,CHANDIGARH,GCR,142.68572
176,INDORE,CHENNAI,GCR,183.26988
177,INDORE,DELHI,GCR,249.82896
178,INDORE,HYDERABAD,GCR,169.58548000000002
179,INDORE,KOLKATA,GCR,146.25164
180,INDORE,LUCKNOW,GCR,46.00528
181,INDORE,MUMBAI,GCR,238.78320000000002
182,INDORE,NAGPUR,GCR,20.20288
183,INDORE,PUNE,GCR,112.18608
184,JAIPUR,AHMEDABAD,GCR,33.40508
185,JAIPUR,BANGALORE,GCR,268.45372
186,JAIPUR,BANGALORE,PRIME,230.71116
187,JAIPUR,BHUBANESHWAR,GCR,37.94264
188,JAIPUR,CHENNAI,GCR,263.56316000000004
189,JAIPUR,COCHIN,GCR,310.40351999999996
190,JAIPUR,HYDERABAD,GCR,464.3078
191,JAIPUR,KOLKATA,GCR,336.9442
192,JAIPUR,LUCKNOW,GCR,1.9485999999999994
193,JAIPUR,MUMBAI,GCR,258.51704
194,JAIPUR,MUMBAI,PRIME,243.82548
195,JAIPUR,PUNE,GCR,230.05852
196,KOLKATA,AGARTALA,GCR,185.83684
197,KOLKATA,AGARTALA,PRIME,91.0686
198,KOLKATA,AHMEDABAD,GCR,388.36872
199,KOLKATA,BANGALORE,GCR,506.97643999999997
200,KOLKATA,BANGALORE,PRIME,483.42224
201,KOLKATA,BHUBANESHWAR,GCR,0.76588
202,KOLKATA,CHANDIGARH,GCR,592.53708
203,KOLKATA,CHENNAI,GCR,222.48408
204,KOLKATA,CHENNAI,PRIME,197.2634
205,KOLKATA,COCHIN,GCR,447.75404
206,KOLKATA,DELHI,GCR,987.11272
207,KOLKATA,DELHI,PRIME,1442.058
208,KOLKATA,DIBRUGARH,GCR,182.06632
209,KOLKATA,GUWAHATI,GCR,287.9704
210,KOLKATA,GUWAHATI,PRIME,225.9924
211,KOLKATA,HYDERABAD,GCR,347.90744
212,KOLKATA,HYDERABAD,PRIME,349.56328
213,KOLKATA,INDORE,GCR,178.46204
214,KOLKATA,JAIPUR,GCR,236.49527999999998
215,KOLKATA,LUCKNOW,GCR,262.94416
216,KOLKATA,MUMBAI,GCR,520.08896
217,KOLKATA,MUMBAI,PRIME,509.23744
218,KOLKATA,NAGPUR,GCR,212.14324
219,KOLKATA,PATNA,GCR,157.38848000000002
220,KOLKATA,PUNE,GCR,431.3854
221,KOLKATA,SILIGURI,GCR,352.71688
222,KOLKATA,SURAT,GCR,160.97496
223,KOLKATA,VARANASI,GCR,173.31799999999998
224,LUCKNOW,AHMEDABAD,GCR,133.47752
225,LUCKNOW,BANGALORE,GCR,366.9588
226,LUCKNOW,CHANDIGARH,GCR,53.111639999999994
227,LUCKNOW,CHENNAI,GCR,168.10204000000002
228,LUCKNOW,HYDERABAD,GCR,220.7462
229,LUCKNOW,KOLKATA,GCR,194.82276
230,LUCKNOW,MUMBAI,GCR,358.92812000000004
231,LUCKNOW,PATNA,GCR,21.442919999999997
232,LUCKNOW,PUNE,GCR,184.39427999999998
233,MUMBAI,AHMEDABAD,GCR,11.97196
234,MUMBAI,AHMEDABAD,PRIME,13.64044
235,MUMBAI,BANGALORE,GCR,1165.79144
236,MUMBAI,BANGALORE,PRIME,1021.98392
237,MUMBAI,BHUBANESHWAR,GCR,448.52188
238,MUMBAI,CHANDIGARH,GCR,711.61504
239,MUMBAI,CHANDIGARH,PRIME,635.0118
240,MUMBAI,CHENNAI,GCR,840.62436
241,MUMBAI,CHENNAI,PRIME,634.82616
242,MUMBAI,COCHIN,GCR,810.50568
243,MUMBAI,COCHIN,PRIME,787.28588
244,MUMBAI,COIMBATORE,GCR,980.2921200000001
245,MUMBAI,DELHI,GCR,1881.69552
246,MUMBAI,DELHI,PRIME,2291.99248
247,MUMBAI,GUWAHATI,GCR,525.1341600000001
248,MUMBAI,HYDERABAD,GCR,579.97548
249,MUMBAI,HYDERABAD,PRIME,721.83756
250,MUMBAI,INDORE,GCR,380.08572000000004
251,MUMBAI,JAIPUR,GCR,302.873
252,MUMBAI,JAIPUR,PRIME,283.66308
253,MUMBAI,KOLKATA,GCR,838.89672
254,MUMBAI,KOLKATA,PRIME,642.808
255,MUMBAI,LUCKNOW,GCR,616.10576
256,MUMBAI,NAGPUR,GCR,133.55076
257,MUMBAI,NAGPUR,PRIME,112.57732
258,MUMBAI,PATNA,GCR,677.4245599999999
259,MUMBAI,RANCHI,GCR,248.61828
260,MUMBAI,RANCHI,PRIME,129.02252
261,MUMBAI,SILIGURI,GCR,353.51436
262,MUMBAI,VARANASI,GCR,371.77116
263,MUMBAI,VIJAYAWADA,GCR,307.88128
264,NAGPUR,BANGALORE,GCR,169.33772
265,NAGPUR,DELHI,GCR,363.33132
266,NAGPUR,KOLKATA,GCR,0.0874
267,NAGPUR,MUMBAI,GCR,67.20588000000001
268,NAGPUR,PUNE,GCR,52.24976
269,PATNA,AHMEDABAD,GCR,18.09236
270,PATNA,BANGALORE,GCR,265.2664
271,PATNA,BHUBANESHWAR,GCR,4.357239999999999
272,PATNA,CHENNAI,GCR,128.67852
273,PATNA,COCHIN,GCR,8.77472
274,PATNA,DELHI,GCR,545.0912
275,PATNA,HYDERABAD,GCR,132.06655999999998
276,PATNA,KOLKATA,GCR,87.74024
277,PATNA,MUMBAI,GCR,205.80452
278,PATNA,RANCHI,GCR,5.92632
279,PUNE,AHMEDABAD,GCR,296.09648
280,PUNE,BANGALORE,GCR,413.28132
281,PUNE,BANGALORE,PRIME,330.50416
282,PUNE,BHUBANESHWAR,GCR,145.26172
283,PUNE,CHANDIGARH,GCR,557.38652
284,PUNE,CHENNAI,GCR,412.174
285,PUNE,CHENNAI,PRIME,178.89216
286,PUNE,COCHIN,GCR,184.76692
287,PUNE,COIMBATORE,GCR,194.79412
288,PUNE,DELHI,GCR,976.07528
289,PUNE,DELHI,PRIME,849.2612799999999
290,PUNE,GUWAHATI,GCR,167.00544
291,PUNE,HYDERABAD,GCR,1.4236
292,PUNE,INDORE,GCR,134.82088
293,PUNE,JAIPUR,GCR,196.47584
294,PUNE,KOLKATA,GCR,308.1242
295,PUNE,KOLKATA,PRIME,136.3054
296,PUNE,LUCKNOW,GCR,226.12976
297,PUNE,NAGPUR,GCR,76.96260000000001
298,PUNE,PATNA,GCR,225.15843999999998
299,PUNE,RANCHI,GCR,290.43384
300,PUNE,SURAT,GCR,4.09976
301,PUNE,VARANASI,GCR,40.1716
302,RANCHI,BANGALORE,GCR,209.41312
303,RANCHI,BHUBANESHWAR,GCR,0.9838800000000001
304,RANCHI,DELHI,GCR,637.4886
305,RANCHI,HYDERABAD,GCR,2.901919999999999
306,RANCHI,KOLKATA,GCR,15.20812
307,RANCHI,MUMBAI,GCR,173.02195999999998
308,RANCHI,PATNA,GCR,1.4163999999999999
309,RANCHI,PUNE,GCR,40.8568
310,SILIGURI,AHMEDABAD,GCR,54.91556
311,SILIGURI,BANGALORE,GCR,212.51363999999998
312,SILIGURI,CHENNAI,GCR,99.85544
313,SILIGURI,DELHI,GCR,358.26991999999996
314,SILIGURI,HYDERABAD,GCR,83.98495999999999
315,SILIGURI,KOLKATA,GCR,248.654
316,SILIGURI,MUMBAI,GCR,402.63023999999996
317,SURAT,BANGALORE,GCR,528.8158
318,SURAT,BANGALORE,PRIME,838.78084
319,SURAT,CHENNAI,GCR,537.1122399999999
320,SURAT,DELHI,GCR,1918.25952
321,SURAT,HYDERABAD,GCR,1681.82988
322,SURAT,KOLKATA,GCR,697.4504
323,SURAT,PUNE,GCR,1.4784799999999998
324,TRICHY,MUMBAI,GCR,174.30419999999998
325,VARANASI,AHMEDABAD,GCR,243.90864
326,VARANASI,BANGALORE,GCR,533.2218399999999
327,VARANASI,BHUBANESHWAR,GCR,29.13728
328,VARANASI,CHENNAI,GCR,305.33343999999994
329,VARANASI,COCHIN,GCR,273.00007999999997
330,VARANASI,DELHI,GCR,421.98544
331,VARANASI,HYDERABAD,GCR,635.238
332,VARANASI,KOLKATA,GCR,208.93851999999998
333,VARANASI,MUMBAI,GCR,384.2064
334,VARANASI,PUNE,GCR,168.48272
335,VIJAYAWADA,BANGALORE,GCR,21.506
336,VIJAYAWADA,DELHI,GCR,246.7946
337,VIJAYAWADA,MUMBAI,GCR,177.17572
